polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
unity-cubic,8,8,4,0.5333333333333332,0.7999999999999998,0.26666666666666683,0.5333333333333334,100,6.29,0.06,0.06
unity-cubic,8,9,4,0.7999999999999998,1.0666666666666664,0.26666666666666683,0.5333333333333334,100,5.03,0.0,0.0
unity-cubic,8,10,4,1.0666666666666664,1.333333333333333,0.26666666666666683,0.5333333333333334,100,4.96,0.0,0.0
unity-cubic,8,11,4,1.333333333333333,1.6,0.26666666666666683,0.5333333333333334,100,5.0,0.0,0.0
unity-cubic,8,0,5,-1.6,-1.3333333333333335,0.0,0.26666666666666683,100,8.0,1.0,1.0
unity-cubic,8,1,5,-1.3333333333333335,-1.0666666666666669,0.0,0.26666666666666683,100,7.81,0.74,0.74
unity-cubic,8,2,5,-1.0666666666666669,-0.8,0.0,0.26666666666666683,100,7.95,0.7,0.7
unity-cubic,8,3,5,-0.8,-0.5333333333333334,0.0,0.26666666666666683,100,7.82,0.73,0.73
unity-cubic,8,4,5,-0.5333333333333334,-0.26666666666666683,0.0,0.26666666666666683,100,7.51,0.5,0.5
unity-cubic,8,5,5,-0.26666666666666683,0.0,0.0,0.26666666666666683,100,8.0,0.94,0.94
unity-cubic,8,6,5,0.0,0.2666666666666666,0.0,0.26666666666666683,100,8.0,0.92,0.92
unity-cubic,8,7,5,0.2666666666666666,0.5333333333333332,0.0,0.26666666666666683,100,7.34,0.33,0.33
unity-cubic,8,8,5,0.5333333333333332,0.7999999999999998,0.0,0.26666666666666683,100,5.19,0.0,0.0
unity-cubic,8,9,5,0.7999999999999998,1.0666666666666664,0.0,0.26666666666666683,100,3.9,0.0,0.0
unity-cubic,8,10,5,1.0666666666666664,1.333333333333333,0.0,0.26666666666666683,100,4.09,0.0,0.0
unity-cubic,8,11,5,1.333333333333333,1.6,0.0,0.26666666666666683,100,4.96,0.0,0.0
unity-cubic,8,0,6,-1.6,-1.3333333333333335,-0.2666666666666666,0.0,100,8.0,1.0,1.0
unity-cubic,8,1,6,-1.3333333333333335,-1.0666666666666669,-0.2666666666666666,0.0,100,7.81,0.74,0.74
unity-cubic,8,2,6,-1.0666666666666669,-0.8,-0.2666666666666666,0.0,100,7.95,0.7,0.7
unity-cubic,8,3,6,-0.8,-0.5333333333333334,-0.2666666666666666,0.0,100,7.82,0.73,0.73
unity-cubic,8,4,6,-0.5333333333333334,-0.26666666666666683,-0.2666666666666666,0.0,100,7.51,0.5,0.5
unity-cubic,8,5,6,-0.26666666666666683,0.0,-0.2666666666666666,0.0,100,8.0,0.94,0.94
unity-cubic,8,6,6,0.0,0.2666666666666666,-0.2666666666666666,0.0,100,8.0,0.92,0.92
unity-cubic,8,7,6,0.2666666666666666,0.5333333333333332,-0.2666666666666666,0.0,100,7.34,0.33,0.33
unity-cubic,8,8,6,0.5333333333333332,0.7999999999999998,-0.2666666666666666,0.0,100,5.19,0.0,0.0
unity-cubic,8,9,6,0.7999999999999998,1.0666666666666664,-0.2666666666666666,0.0,100,3.9,0.0,0.0
unity-cubic,8,10,6,1.0666666666666664,1.333333333333333,-0.2666666666666666,0.0,100,4.09,0.0,0.0
unity-cubic,8,11,6,1.333333333333333,1.6,-0.2666666666666666,0.0,100,4.96,0.0,0.0
unity-cubic,8,0,7,-1.6,-1.3333333333333335,-0.5333333333333332,-0.2666666666666666,100,7.55,0.12,0.12
unity-cubic,8,1,7,-1.3333333333333335,-1.0666666666666669,-0.5333333333333332,-0.2666666666666666,100,7.1,0.06,0.06
unity-cubic,8,2,7,-1.0666666666666669,-0.8,-0.5333333333333332,-0.2666666666666666,100,6.35,0.0,0.0
unity-cubic,8,3,7,-0.8,-0.5333333333333334,-0.5333333333333332,-0.2666666666666666,100,6.09,0.0,0.0
