power,budget,threshold,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
3,80,40,4,1,-0.5333333333333334,-0.26666666666666683,1.0666666666666669,1.3333333333333335,100,4.59,0.0,0.0
3,80,40,5,1,-0.26666666666666683,0.0,1.0666666666666669,1.3333333333333335,100,5.1,0.0,0.0
3,80,40,6,1,0.0,0.2666666666666666,1.0666666666666669,1.3333333333333335,100,6.31,0.0,0.0
3,80,40,7,1,0.2666666666666666,0.5333333333333332,1.0666666666666669,1.3333333333333335,100,9.96,0.0,0.0
3,80,40,8,1,0.5333333333333332,0.7999999999999998,1.0666666666666669,1.3333333333333335,100,14.42,0.0,0.0
3,80,40,9,1,0.7999999999999998,1.0666666666666664,1.0666666666666669,1.3333333333333335,100,11.01,0.0,0.0
3,80,40,10,1,1.0666666666666664,1.333333333333333,1.0666666666666669,1.3333333333333335,100,7.85,0.0,0.0
3,80,40,11,1,1.333333333333333,1.6,1.0666666666666669,1.3333333333333335,100,7.13,0.0,0.0
3,80,40,0,2,-1.6,-1.3333333333333335,0.8,1.0666666666666669,100,6.0,0.0,0.0
3,80,40,1,2,-1.3333333333333335,-1.0666666666666669,0.8,1.0666666666666669,100,5.4,0.0,0.0
3,80,40,2,2,-1.0666666666666669,-0.8,0.8,1.0666666666666669,100,4.93,0.0,0.0
3,80,40,3,2,-0.8,-0.5333333333333334,0.8,1.0666666666666669,100,3.92,0.0,0.0
3,80,40,4,2,-0.5333333333333334,-0.26666666666666683,0.8,1.0666666666666669,100,3.77,0.0,0.0
3,80,40,5,2,-0.26666666666666683,0.0,0.8,1.0666666666666669,100,4.97,0.0,0.0
3,80,40,6,2,0.0,0.2666666666666666,0.8,1.0666666666666669,100,6.66,0.0,0.0
3,80,40,7,2,0.2666666666666666,0.5333333333333332,0.8,1.0666666666666669,100,9.93,0.0,0.0
3,80,40,8,2,0.5333333333333332,0.7999999999999998,0.8,1.0666666666666669,100,10.05,0.0,0.0
3,80,40,9,2,0.7999999999999998,1.0666666666666664,0.8,1.0666666666666669,100,8.5,0.0,0.0
3,80,40,10,2,1.0666666666666664,1.333333333333333,0.8,1.0666666666666669,100,6.6,0.0,0.0
3,80,40,11,2,1.333333333333333,1.6,0.8,1.0666666666666669,100,6.27,0.0,0.0
3,80,40,0,3,-1.6,-1.3333333333333335,0.5333333333333334,0.8,100,6.45,0.0,0.0
3,80,40,1,3,-1.3333333333333335,-1.0666666666666669,0.5333333333333334,0.8,100,5.88,0.0,0.0
3,80,40,2,3,-1.0666666666666669,-0.8,0.5333333333333334,0.8,100,5.12,0.0,0.0
3,80,40,3,3,-0.8,-0.5333333333333334,0.5333333333333334,0.8,100,4.46,0.0,0.0
3,80,40,4,3,-0.5333333333333334,-0.26666666666666683,0.5333333333333334,0.8,100,4.38,0.0,0.0
3,80,40,5,3,-0.26666666666666683,0.0,0.5333333333333334,0.8,100,5.57,0.0,0.0
3,80,40,6,3,0.0,0.2666666666666666,0.5333333333333334,0.8,100,9.85,0.0,0.0
3,80,40,7,3,0.2666666666666666,0.5333333333333332,0.5333333333333334,0.8,100,13.36,0.0,0.0
3,80,40,8,3,0.5333333333333332,0.7999999999999998,0.5333333333333334,0.8,100,8.35,0.0,0.0
3,80,40,9,3,0.7999999999999998,1.0666666666666664,0.5333333333333334,0.8,100,6.17,0.0,0.0
3,80,40,10,3,1.0666666666666664,1.333333333333333,0.5333333333333334,0.8,100,5.72,0.0,0.0
3,80,40,11,3,1.333333333333333,1.6,0.5333333333333334,0.8,100,5.82,0.0,0.0
3,80,40,0,4,-1.6,-1.3333333333333335,0.26666666666666683,0.5333333333333334,100,7.67,0.0,0.0
3,80,40,1,4,-1.3333333333333335,-1.0666666666666669,0.26666666666666683,0.5333333333333334,100,7.16,0.0,0.0
3,80,40,2,4,-1.0666666666666669,-0.8,0.26666666666666683,0.5333333333333334,100,6.35,0.0,0.0
3,80,40,3,4,-0.8,-0.5333333333333334,0.26666666666666683,0.5333333333333334,100,6.09,0.0,0.0
3,80,40,4,4,-0.5333333333333334,-0.26666666666666683,0.26666666666666683,0.5333333333333334,100,6.12,0.0,0.0
